State,County,Value,Gender,Race/Ethnicity,Lat,Lng,Fast Food Count
IA,Union County,485.9,Overall,Overall,41.030478,-94.249979,9
AL,Sumter County,485.5,Overall,Overall,32.592159,-88.198779,17
TX,Winkler County,485.1,Overall,Overall,31.850587,-103.053204,19
TN,Gibson County,485.0,Overall,Overall,36.001545,-88.931569,20
OH,Hardin County,484.7,Overall,Overall,40.655464,-83.656087,20
OK,Pontotoc County,484.5,Overall,Overall,34.734761,-96.679702,20
OK,Creek County,484.0,Overall,Overall,35.908092,-96.368841,20
MI,Bay County,483.8,Overall,Overall,43.710659,-83.993032,20
OK,Mayes County,483.6,Overall,Overall,36.307774,-95.234029,20
MS,Greene County,483.4,Overall,Overall,31.215272,-88.63598,11
MS,Copiah County,483.2,Overall,Overall,31.874118,-90.448525,20
AR,Madison County,483.1,Overall,Overall,36.012684,-93.719185,5
TX,Cass County,482.7,Overall,Overall,33.080237,-94.34325,19
TN,Bradley County,482.6,Overall,Overall,35.160216,-84.855044,20
TN,Obion County,482.5,Overall,Overall,36.356546,-89.149601,20
MS,Wilkinson County,482.3,Overall,Overall,31.165754,-91.312898,6
TN,Claiborne County,482.2,Overall,Overall,36.484769,-83.663523,20
KS,Comanche County,482.0,Overall,Overall,37.186297,-99.272853,2
TN,Dyer County,481.9,Overall,Overall,36.058742,-89.414054,20
TN,Greene County,481.6,Overall,Overall,36.175536,-82.841878,20
KY,Pike County,481.6,Overall,Overall,37.464844,-82.395623,20
OK,Le Flore County,481.5,Overall,Overall,34.905684,-94.698488,14
AR,Ashley County,481.4,Overall,Overall,33.194525,-91.759365,10
MS,Carroll County,481.4,Overall,Overall,33.454043,-89.915231,20
TX,Jones County,481.4,Overall,Overall,32.740283,-99.881124,20
MI,Iosco County,481.3,Overall,Overall,44.359298,-83.641538,18
TX,Fannin County,480.9,Overall,Overall,33.596707,-96.101851,15
KY,Lawrence County,480.9,Overall,Overall,38.072986,-82.739326,20
AR,White County,480.8,Overall,Overall,35.260527,-91.743166,20
MI,Clare County,480.7,Overall,Overall,43.99386,-84.851271,20
OK,Garvin County,480.7,Overall,Overall,34.713099,-97.303918,20
AR,Randolph County,480.5,Overall,Overall,36.338612,-91.031515,16
TX,Henderson County,480.5,Overall,Overall,32.217069,-95.849923,20
KY,Pulaski County,480.5,Overall,Overall,37.107346,-84.587927,20
SD,Clay County,480.4,Overall,Overall,42.915141,-96.979344,20
IL,Hardin County,480.3,Overall,Overall,37.522909,-88.271679,20
NV,Mineral County,479.9,Overall,Overall,38.532142,-118.425803,7
