,County,State,Hospital Count
607,Collingsworth County,TX,1
608,Colonial Heights City,VA,13
609,Colorado,CO,20
610,Colorado County,TX,5
611,Colquitt County,GA,3
612,Columbia County,AR,8
613,Columbia County,FL,10
614,Columbia County,GA,14
615,Columbia County,NY,8
616,Columbia County,OR,1
617,Columbia County,PA,20
618,Columbia County,WA,2
619,Columbia County,WI,11
620,Columbiana County,OH,20
621,Columbus County,NC,1
622,Colusa County,CA,8
623,Comal County,TX,20
624,Comanche County,KS,1
625,Comanche County,OK,2
626,Comanche County,TX,1
627,Comerio Municipio,PR,3
628,Concho County,TX,1
629,Concordia Parish,LA,13
630,Conecuh County,AL,2
631,Conejos County,CO,1
632,Connecticut,CT,20
633,Contra Costa County,CA,8
634,Converse County,WY,1
635,Conway County,AR,17
636,Cook County,GA,1
637,Cook County,IL,2
638,Cook County,MN,1
639,Cooke County,TX,3
640,Cooper County,MO,1
641,Coos County,NH,8
642,Coos County,OR,5
643,Coosa County,AL,12
644,Copiah County,MS,1
645,Corson County,SD,4
646,Cortland County,NY,3
647,Coryell County,TX,15
648,Coshocton County,OH,1
649,Costilla County,CO,10
650,Cotton County,OK,3
651,Cottonwood County,MN,2
652,Covington City,VA,1
653,Covington County,AL,8
654,Covington County,MS,1
655,Coweta County,GA,20
656,Cowley County,KS,3
657,Cowlitz County,WA,15
658,Craig County,OK,6
659,Craig County,VA,20
660,Craighead County,AR,20
661,Crane County,TX,1
662,Craven County,NC,4
663,Crawford County,AR,20
664,Crawford County,GA,20
665,Crawford County,IA,1
666,Crawford County,IL,1
667,Crawford County,IN,5
668,Crawford County,KS,7
669,Crawford County,MI,7
670,Crawford County,MO,13
671,Crawford County,OH,4
672,Crawford County,PA,15
673,Crawford County,WI,13
674,Creek County,OK,20
675,Crisp County,GA,2
676,Crittenden County,AR,20
677,Crittenden County,KY,1
678,Crockett County,TN,20
679,Crockett County,TX,10
680,Crook County,OR,8
681,Crosby County,TX,1
682,Cross County,AR,2
683,Crow Wing County,MN,11
684,Crowley County,CO,3
685,Culberson County,TX,1
686,Culebra Municipio,PR,5
687,Cullman County,AL,1
688,Culpeper County,VA,1
689,Cumberland County,IL,8
690,Cumberland County,KY,1
691,Cumberland County,ME,16
692,Cumberland County,NC,7
693,Cumberland County,NJ,20
694,Cumberland County,PA,20
